Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,ident,WEIGHT
5.1,3.5,1.4,0.2,setosa,1,5
4.9,3,1.4,0.2,setosa,2,5
4.7,3.2,1.3,0.2,setosa,3,5
4.6,3.1,1.5,0.2,setosa,4,5
5,3.6,1.4,0.2,setosa,5,5
5.4,3.9,1.7,0.4,setosa,6,5
4.6,3.4,1.4,0.3,setosa,7,5
5,3.4,1.5,0.2,setosa,8,5
4.4,2.9,1.4,0.2,setosa,9,5
4.9,3.1,1.5,0.1,setosa,10,5
5.4,3.7,1.5,0.2,setosa,11,5
4.8,3.4,1.6,0.2,setosa,12,5
4.8,3,1.4,0.1,setosa,13,5
4.3,3,1.1,0.1,setosa,14,5
5.8,4,1.2,0.2,setosa,15,5
5.7,4.4,1.5,0.4,setosa,16,5
5.4,3.9,1.3,0.4,setosa,17,5
5.1,3.5,1.4,0.3,setosa,18,5
5.7,3.8,1.7,0.3,setosa,19,5
5.1,3.8,1.5,0.3,setosa,20,5
5.4,3.4,1.7,0.2,setosa,21,5
5.1,3.7,1.5,0.4,setosa,22,5
4.6,3.6,1,0.2,setosa,23,5
5.1,3.3,1.7,0.5,setosa,24,5
4.8,3.4,1.9,0.2,setosa,25,5
5,3,1.6,0.2,setosa,26,5
5,3.4,1.6,0.4,setosa,27,5
5.2,3.5,1.5,0.2,setosa,28,5
5.2,3.4,1.4,0.2,setosa,29,5
4.7,3.2,1.6,0.2,setosa,30,5
4.8,3.1,1.6,0.2,setosa,31,5
5.4,3.4,1.5,0.4,setosa,32,5
5.2,4.1,1.5,0.1,setosa,33,5
5.5,4.2,1.4,0.2,setosa,34,5
4.9,3.1,1.5,0.2,setosa,35,5
5,3.2,1.2,0.2,setosa,36,5
5.5,3.5,1.3,0.2,setosa,37,5
4.9,3.6,1.4,0.1,setosa,38,5
4.4,3,1.3,0.2,setosa,39,5
5.1,3.4,1.5,0.2,setosa,40,5
5,3.5,1.3,0.3,setosa,41,5
4.5,2.3,1.3,0.3,setosa,42,5
4.4,3.2,1.3,0.2,setosa,43,5
5,3.5,1.6,0.6,setosa,44,5
5.1,3.8,1.9,0.4,setosa,45,5
4.8,3,1.4,0.3,setosa,46,5
5.1,3.8,1.6,0.2,setosa,47,5
4.6,3.2,1.4,0.2,setosa,48,5
5.3,3.7,1.5,0.2,setosa,49,5
5,3.3,1.4,0.2,setosa,50,5
7,3.2,4.7,1.4,versicolor,51,2.5
6.4,3.2,4.5,1.5,versicolor,52,2.5
6.9,3.1,4.9,1.5,versicolor,53,2.5
5.5,2.3,4,1.3,versicolor,54,2.5
6.5,2.8,4.6,1.5,versicolor,55,2.5
5.7,2.8,4.5,1.3,versicolor,56,2.5
6.3,3.3,4.7,1.6,versicolor,57,2.5
4.9,2.4,3.3,1,versicolor,58,2.5
6.6,2.9,4.6,1.3,versicolor,59,2.5
5.2,2.7,3.9,1.4,versicolor,60,2.5
5,2,3.5,1,versicolor,61,2.5
5.9,3,4.2,1.5,versicolor,62,2.5
6,2.2,4,1,versicolor,63,2.5
6.1,2.9,4.7,1.4,versicolor,64,2.5
5.6,2.9,3.6,1.3,versicolor,65,2.5
6.7,3.1,4.4,1.4,versicolor,66,2.5
5.6,3,4.5,1.5,versicolor,67,2.5
5.8,2.7,4.1,1,versicolor,68,2.5
6.2,2.2,4.5,1.5,versicolor,69,2.5
5.6,2.5,3.9,1.1,versicolor,70,2.5
5.9,3.2,4.8,1.8,versicolor,71,2.5
6.1,2.8,4,1.3,versicolor,72,2.5
6.3,2.5,4.9,1.5,versicolor,73,2.5
6.1,2.8,4.7,1.2,versicolor,74,2.5
6.4,2.9,4.3,1.3,versicolor,75,2.5
6.6,3,4.4,1.4,versicolor,76,2.5
6.8,2.8,4.8,1.4,versicolor,77,2.5
6.7,3,5,1.7,versicolor,78,2.5
6,2.9,4.5,1.5,versicolor,79,2.5
5.7,2.6,3.5,1,versicolor,80,2.5
5.5,2.4,3.8,1.1,versicolor,81,2.5
5.5,2.4,3.7,1,versicolor,82,2.5
5.8,2.7,3.9,1.2,versicolor,83,2.5
6,2.7,5.1,1.6,versicolor,84,2.5
5.4,3,4.5,1.5,versicolor,85,2.5
6,3.4,4.5,1.6,versicolor,86,2.5
6.7,3.1,4.7,1.5,versicolor,87,2.5
6.3,2.3,4.4,1.3,versicolor,88,2.5
5.6,3,4.1,1.3,versicolor,89,2.5
5.5,2.5,4,1.3,versicolor,90,2.5
5.5,2.6,4.4,1.2,versicolor,91,2.5
6.1,3,4.6,1.4,versicolor,92,2.5
5.8,2.6,4,1.2,versicolor,93,2.5
5,2.3,3.3,1,versicolor,94,2.5
5.6,2.7,4.2,1.3,versicolor,95,2.5
5.7,3,4.2,1.2,versicolor,96,2.5
5.7,2.9,4.2,1.3,versicolor,97,2.5
6.2,2.9,4.3,1.3,versicolor,98,2.5
5.1,2.5,3,1.1,versicolor,99,2.5
5.7,2.8,4.1,1.3,versicolor,100,2.5
6.3,3.3,6,2.5,virginica,101,7.5
5.8,2.7,5.1,1.9,virginica,102,7.5
7.1,3,5.9,2.1,virginica,103,7.5
6.3,2.9,5.6,1.8,virginica,104,7.5
6.5,3,5.8,2.2,virginica,105,7.5
7.6,3,6.6,2.1,virginica,106,7.5
4.9,2.5,4.5,1.7,virginica,107,7.5
7.3,2.9,6.3,1.8,virginica,108,7.5
6.7,2.5,5.8,1.8,virginica,109,7.5
7.2,3.6,6.1,2.5,virginica,110,7.5
6.5,3.2,5.1,2,virginica,111,7.5
6.4,2.7,5.3,1.9,virginica,112,7.5
6.8,3,5.5,2.1,virginica,113,7.5
5.7,2.5,5,2,virginica,114,7.5
5.8,2.8,5.1,2.4,virginica,115,7.5
6.4,3.2,5.3,2.3,virginica,116,7.5
6.5,3,5.5,1.8,virginica,117,7.5
7.7,3.8,6.7,2.2,virginica,118,7.5
7.7,2.6,6.9,2.3,virginica,119,7.5
6,2.2,5,1.5,virginica,120,7.5
6.9,3.2,5.7,2.3,virginica,121,7.5
5.6,2.8,4.9,2,virginica,122,7.5
7.7,2.8,6.7,2,virginica,123,7.5
6.3,2.7,4.9,1.8,virginica,124,7.5
6.7,3.3,5.7,2.1,virginica,125,7.5
7.2,3.2,6,1.8,virginica,126,7.5
6.2,2.8,4.8,1.8,virginica,127,7.5
6.1,3,4.9,1.8,virginica,128,7.5
6.4,2.8,5.6,2.1,virginica,129,7.5
7.2,3,5.8,1.6,virginica,130,7.5
7.4,2.8,6.1,1.9,virginica,131,7.5
7.9,3.8,6.4,2,virginica,132,7.5
6.4,2.8,5.6,2.2,virginica,133,7.5
6.3,2.8,5.1,1.5,virginica,134,7.5
6.1,2.6,5.6,1.4,virginica,135,7.5
7.7,3,6.1,2.3,virginica,136,7.5
6.3,3.4,5.6,2.4,virginica,137,7.5
6.4,3.1,5.5,1.8,virginica,138,7.5
6,3,4.8,1.8,virginica,139,7.5
6.9,3.1,5.4,2.1,virginica,140,7.5
6.7,3.1,5.6,2.4,virginica,141,7.5
6.9,3.1,5.1,2.3,virginica,142,7.5
5.8,2.7,5.1,1.9,virginica,143,7.5
6.8,3.2,5.9,2.3,virginica,144,7.5
6.7,3.3,5.7,2.5,virginica,145,7.5
6.7,3,5.2,2.3,virginica,146,7.5
6.3,2.5,5,1.9,virginica,147,7.5
6.5,3,5.2,2,virginica,148,7.5
6.2,3.4,5.4,2.3,virginica,149,7.5
5.9,3,5.1,1.8,virginica,150,7.5
